uid,iid,score,time
2,2450,4,26
2,2591,3,23
2,2619,4,107
2,2620,5,107
2,2695,4,249
2,2721,4,26
2,2725,4,249
2,2856,4,107
2,2873,4,107
2,2907,4,26
2,2961,4,1175
2,2970,4,107
2,3014,4,485
2,3015,4,23
2,3021,3,1280
2,3061,3,26
2,3070,3,107
2,3231,5,249
2,3237,3,1073
2,3290,4,1175
2,3372,4,1175
2,3381,2,959
2,3390,4,249
2,3421,5,249
2,3422,4,107
2,3478,3,107
2,3525,4,249
2,3564,3,249
2,3647,4,249
2,3658,3,485
2,3662,4,485
2,3686,3,26
2,3698,4,1175
2,4338,4,540
2,4417,4,514
2,4729,4,1175
2,4870,3,485
2,4886,4,249
2,4922,4,953
2,5017,5,815
2,5072,3,492
2,5183,4,249
2,5358,3,959
2,5587,5,959
2,5614,3,1175
2,5649,5,924
2,5651,4,344
2,5663,4,476
2,5689,5,1220
2,5702,3,700
2,5724,3,1175
2,5941,4,518
2,6032,4,485
2,6138,4,492
2,6222,3,485
2,6297,4,612
2,6307,4,986
2,6310,3,548
2,6374,4,994
2,6395,4,514
2,6396,4,491
2,6407,3,485
2,6413,4,476
2,6420,3,833
2,6428,4,485
2,6441,4,518
2,6450,4,614
2,6458,4,582
2,6474,3,953
2,6477,5,567
2,6481,4,567
2,6516,3,1319
2,6522,5,815
2,6527,4,548
2,6554,5,1248
2,6586,3,1319
2,6600,5,1208
2,6625,4,1319
2,6638,4,1319
2,6667,4,666
2,6682,2,567
2,6684,3,1175
2,6694,4,1091
2,6709,4,1247
2,6813,5,1175
2,6829,3,567
2,6849,4,567
2,6978,4,1319
2,6991,4,575
2,7026,4,715
2,7029,4,628
2,7052,3,981
2,7055,4,666
2,7056,4,712
2,7083,4,666
2,7132,3,628
2,7139,4,633
2,7151,4,687
2,7188,3,1049
2,7201,3,808
2,7203,4,733
2,7271,3,669
2,7312,3,848
2,7319,4,799
2,7335,3,1076
2,7344,4,757
2,7346,4,757
2,7389,3,924
2,7469,3,1175
2,7489,4,953
2,7511,5,766
2,7535,4,730
2,7601,3,808
2,7666,3,1077
2,7673,4,1302
2,7674,3,773
2,7722,5,712
2,7801,3,761
2,7803,3,757
2,7829,4,1175
2,7903,4,834
2,7939,3,777
2,7973,3,856
2,8063,3,916
2,8084,4,773
2,8119,4,1319
2,8124,4,1085
2,8156,4,784
2,8158,5,1274
2,8222,4,1036
2,8283,3,798
2,8305,4,814
2,8347,3,897
2,8383,4,825
2,8413,5,819
2,8423,4,787
2,8433,3,1049
2,8452,1,930
2,8494,4,924
2,8499,3,953
2,8501,3,841
2,8549,3,868
2,8559,5,1196
2,8598,3,862
2,8601,3,895
2,8628,3,981
2,8633,4,856
2,8638,3,884
2,8732,4,862
2,8746,4,1175
2,8844,3,913
2,8873,3,909
2,8882,4,903
2,8943,4,920
2,8958,3,1280
2,8968,3,827
2,9009,4,1022
2,9058,3,953
2,9102,1,937
2,9106,4,895
2,9113,2,946
2,9180,3,986
2,9191,3,958
2,9229,4,969
2,9298,3,946
2,9321,3,898
2,9323,2,1073
2,9358,3,1000
2,9383,3,909
2,9385,4,965
2,9402,3,937
2,9447,5,1042
2,9504,3,996
2,9571,3,994
2,9621,3,1049
2,9686,3,986
2,9687,4,981
2,9760,4,1009
2,9767,4,1040
2,9775,5,1015
2,9780,3,1154
2,9942,2,958
2,9987,4,1023
2,10018,4,1154
2,10051,3,1076
2,10111,3,1036
2,10166,4,1077
2,10290,3,1134
2,10293,4,1076
2,10314,4,1073
2,10351,3,1150
2,10389,4,1098
2,10468,4,1247
2,10629,3,1134
2,10812,4,1142
2,10864,4,1175
2,10878,3,1197
2,10908,3,1210
2,10933,4,1203
2,10983,4,1203
2,10989,3,1290
2,10994,4,1261
2,10999,4,1154
2,11014,4,1091
2,11018,4,1217
2,11074,1,1112
2,11100,3,1217
2,11153,4,1154
2,11166,4,1106
2,11174,4,1190
2,11192,3,1175
2,11218,3,1238
2,11271,4,1220
2,11453,4,1225
2,11472,3,1302
2,11489,3,1182
2,11549,3,1266
2,11558,4,1197
2,11640,3,1343
2,11656,4,1154
2,11660,4,1168
2,11663,3,1238
2,11685,4,1326
2,11723,4,1147
2,11739,5,1227
2,11761,4,1183
2,11935,4,1228
2,11959,3,1242
2,11980,3,1326
2,12118,3,1233
2,12127,3,1168
2,12197,4,1260
2,12278,3,1255
2,12306,4,1267
2,12310,3,1245
2,12355,3,1323
2,12399,3,1238
2,12446,4,1332
2,12456,4,1343
2,12583,3,1274
2,12729,3,1261
2,12741,4,1290
2,12792,5,1343
2,12983,3,1317
2,13000,4,1332
3,2,1,3
3,13,1,475
3,14,4,2
3,34,5,1
3,41,4,14
3,45,3,642
3,55,2,1061
3,59,5,166
3,66,4,12
3,67,5,2
3,71,4,1036
3,72,2,131
3,77,3,912
3,89,5,917
3,97,4,645
3,110,1,441
3,112,1,475
3,155,5,3
3,157,2,413
3,163,3,430
3,164,5,2
3,165,5,12
3,169,3,153
3,171,4,3
3,175,4,3
3,176,5,11
3,179,4,1269
3,182,5,1199
3,183,5,35
3,190,4,622
3,195,4,1017
3,196,3,1015
3,199,1,648
3,203,4,581
3,206,2,413
3,212,1,597
3,218,5,17
3,229,3,608
3,236,4,2
3,244,2,419
3,245,5,912
3,256,1,475
3,263,4,3
3,269,1,2
3,270,3,501
3,274,4,1061
3,276,4,2
3,287,4,505
3,301,1,505
3,305,1,28
3,308,4,153
3,313,5,14
3,315,2,1198
3,323,4,8
3,324,3,61
3,328,4,475
3,339,3,475
3,349,4,2
3,353,2,1030
3,354,3,153
3,362,5,2
3,365,4,918
3,366,5,509
3,389,3,1024
3,396,5,8
3,397,2,913
3,398,3,563
3,404,4,475
3,406,1,514
3,415,4,169
3,416,5,2
3,418,2,1024
3,424,1,912
3,427,4,596
3,428,1,921
3,431,4,413
3,434,4,475
3,437,2,501
3,461,5,2
3,469,3,85
3,470,2,413
3,474,1,608
3,475,4,912
3,477,1,475
3,480,3,1170
3,482,5,214
3,484,5,11
3,485,4,153
3,488,4,475
3,497,3,609
3,499,4,917
3,504,5,17
3,505,4,153
3,512,1,597
3,519,4,560
3,522,4,2
3,532,2,475
3,537,1,912
3,539,4,917
3,555,3,475
3,564,5,2
3,568,3,445
3,575,5,31
3,580,5,2
3,583,5,61
3,591,5,1029
3,592,5,19
3,598,3,419
3,608,4,648
3,617,1,8
3,622,4,925
3,626,4,912
3,628,4,3
3,631,4,1018
3,640,5,1247
3,641,3,440
3,642,3,231
3,664,5,28
3,669,2,419
3,671,2,681
3,675,1,2
3,679,3,919
3,684,1,2
3,693,1,475
3,696,2,917
3,697,2,1035
3,698,5,188
3,699,3,918
3,703,4,19
3,707,3,680
3,714,3,211
3,715,4,913
3,735,4,921
3,737,4,2
3,739,5,31
3,740,1,597
3,754,1,12
3,755,1,2
3,762,1,12
3,763,3,54
3,766,4,1140
3,771,5,16
3,773,4,2
3,794,4,695
3,796,5,3
3,802,4,634
3,803,1,2
3,804,1,475
3,805,3,413
3,806,1,5
3,827,4,153
3,830,2,11
3,832,4,1061
3,843,5,3
3,846,3,153
3,853,3,475
3,856,1,2
3,857,3,153
3,859,3,617
3,860,5,102
3,877,3,919
3,887,4,141
3,888,3,33
3,892,5,419
3,894,4,913
3,897,3,912
3,899,1,3
3,900,5,2
3,906,3,608
3,907,3,924
3,921,5,59
3,925,1,3
3,926,2,475
3,934,2,609
3,937,4,3
3,939,4,222
3,948,4,3
3,949,4,441
3,956,4,920
3,957,3,3
3,958,1,441
3,960,1,2
3,962,3,924
3,963,1,475
3,974,5,85
3,978,2,1050
3,979,5,2
3,980,2,921
3,985,5,1
3,996,4,722
3,1000,4,912
3,1001,5,597
3,1003,5,21
3,1008,4,992
3,1022,1,3
3,1025,2,13
3,1038,1,441
3,1040,4,2
3,1041,2,700
3,1048,3,1064
3,1049,4,918
3,1050,4,912
3,1055,2,413
3,1059,4,3
3,1064,3,54
3,1067,4,514
3,1076,3,513
3,1078,4,20
3,1079,4,415
3,1080,5,921
3,1082,1,598
3,1083,4,596
3,1086,3,23
3,1092,3,912
3,1093,4,560
3,1096,2,475
3,1112,3,45
3,1113,3,222
3,1114,5,1037
3,1123,4,419
3,1127,1,5
3,1135,4,188
3,1138,1,913
3,1147,4,921
3,1148,4,2
3,1152,1,445
3,1163,4,560
3,1166,3,1069
3,1170,5,19
3,1171,5,3
3,1173,5,184
3,1176,3,912
3,1190,1,475
3,1201,4,76
3,1206,5,3
3,1210,5,2
3,1212,4,441
3,1222,4,166
3,1226,2,648
3,1234,5,158
3,1236,4,912
3,1239,2,1037
3,1240,2,76
3,1268,4,918
3,1271,5,2
3,1275,5,1037
3,1286,5,697
3,1288,5,2
3,1291,2,445
3,1298,5,2
3,1300,5,8
3,1302,4,2
3,1303,2,166
3,1304,4,61
3,1307,4,2
3,1321,1,643
3,1328,5,413
3,1331,2,441
3,1340,4,913
3,1346,4,513
3,1364,2,634
3,1381,5,475
3,1383,5,228
3,1384,3,602
3,1389,4,3
3,1393,1,475
3,1395,1,3
3,1401,3,608
3,1406,3,514
3,1407,5,1198
3,1412,3,169
3,1414,1,3
3,1418,5,2
3,1419,2,153
3,1428,4,22
3,1429,4,222
3,1434,4,581
3,1437,2,634
3,1439,2,597
3,1452,4,1035
3,1453,1,441
3,1454,4,413
3,1455,3,501
3,1456,2,475
3,1457,3,1015
3,1470,3,934
3,1487,3,918
3,1488,5,20
3,1492,1,2
3,1493,5,415
3,1495,4,1026
3,1498,1,3
3,1502,4,475
3,1505,3,2
3,1513,5,924
3,1518,1,597
3,1528,5,2
3,1541,1,2
3,1546,3,1016
3,1551,5,66
3,1563,4,912
3,1566,3,413
3,1570,2,643
3,1575,4,413
3,1579,3,597
3,1592,2,419
3,1596,2,475
3,1598,1,461
3,1599,4,2
3,1602,5,197
3,1607,4,415
3,1612,3,913
3,1615,3,622
3,1616,3,154
3,1622,3,419
3,1626,4,921
3,1627,4,413
3,1629,3,597
3,1641,2,441
3,1646,5,2
3,1650,3,475
3,1665,3,913
3,1667,4,913
3,1669,3,12
3,1678,5,2
3,1685,3,596
3,1687,4,475
3,1690,1,3
3,1693,5,8
3,1697,5,681
3,1699,4,12
3,1703,4,514
3,1705,1,445
3,1710,5,1037
3,1719,1,564
3,1739,4,3
3,1741,4,8
3,1742,2,475
3,1743,4,921
3,1744,3,441
3,1753,4,419
3,1754,3,445
3,1762,3,1028
3,1779,3,424
3,1782,1,12
3,1789,5,2
3,1796,3,913
3,1806,5,475
3,1809,4,912
3,1816,2,475
3,1823,1,12
3,1824,5,475
3,1825,1,913
3,1831,5,419
3,1841,2,475
3,1846,4,1035
3,1848,4,102
3,1849,5,2
3,1854,3,475
3,1857,4,166
3,1860,4,8
3,1868,4,917
3,1874,4,514
3,1875,3,1030
3,1884,5,934
3,1889,5,190
3,1895,4,918
3,1900,3,922
3,1903,1,8
3,1910,4,2
3,1915,5,475
3,1925,4,1026
3,1928,3,475
3,1931,4,164
3,1934,3,934
3,1959,4,413
3,1967,5,11
3,1969,3,1064
3,1973,1,475
3,1979,2,45
3,1980,4,680
3,1993,4,2
3,1996,1,475
3,1998,5,182
3,2005,5,441
3,2014,4,1035
3,2015,2,154
3,2016,5,917
3,2020,4,171
3,2027,5,2
3,2028,4,2
3,2035,4,3
3,2042,3,441
3,2047,2,475
3,2052,1,65
3,2060,3,475
3,2065,2,445
3,2066,4,475
3,2074,1,3
3,2078,3,514
3,2080,3,153
3,2085,2,509
3,2086,5,419
3,2097,2,514
3,2100,1,514
3,2103,4,3
3,2105,1,514
3,2123,2,642
3,2125,1,634
3,2148,1,3
3,2151,5,3
3,2153,4,8
3,2168,5,3
3,2170,4,61
3,2177,2,445
3,2184,5,2
3,2185,3,681
3,2187,5,102
3,2188,5,2
3,2190,2,445
3,2191,5,924
3,2192,3,587
3,2198,2,912
3,2200,4,912
3,2203,3,475
3,2211,4,441
3,2220,1,514
3,2225,2,445
3,2237,4,1239
3,2242,1,475
3,2265,4,153
3,2269,5,39
3,2272,5,413
3,2277,4,475
3,2279,1,1015
3,2287,3,475
3,2288,1,475
3,2290,2,12
3,2309,4,441
3,2310,2,475
3,2313,5,2
3,2320,3,475
3,2328,3,1031
3,2336,4,413
3,2345,1,12
3,2346,4,445
3,2349,5,3
3,2353,4,912
3,2359,1,912
3,2361,4,420
3,2363,4,475
3,2364,4,12
3,2365,4,514
3,2371,2,920
3,2373,4,226
3,2374,4,2
3,2379,5,3
3,2391,4,923
3,2394,5,82
3,2396,4,913
3,2398,3,597
3,2415,5,2
3,2421,3,475
3,2429,5,171
3,2435,1,12
3,2445,4,413
3,2447,2,475
3,2449,1,475
3,2450,1,441
3,2452,4,3
3,2456,4,501
3,2474,3,598
3,2480,4,1021
3,2486,1,12
3,2506,4,8
3,2507,4,514
3,2515,5,917
3,2518,2,501
3,2519,3,475
3,2522,3,475
3,2526,3,634
3,2527,4,924
3,2531,5,2
3,2538,1,924
3,2541,1,2
3,2546,1,415
3,2549,1,12
3,2551,1,441
3,2552,5,3
3,2554,4,1019
3,2559,4,3
3,2561,5,8
3,2562,2,2
3,2565,2,609
3,2566,4,1240
3,2571,5,475
3,2582,4,1277
3,2588,1,441
3,2591,1,12
3,2603,2,596
3,2619,1,563
3,2624,1,231
3,2626,4,571
3,2630,1,12
3,2637,1,441
3,2638,5,131
3,2641,1,12
3,2649,4,150
3,2654,4,1030
3,2659,2,1200
3,2660,4,85
3,2663,2,598
3,2664,5,1018
3,2666,1,475
3,2669,4,430
3,2675,4,913
3,2678,4,32
3,2680,1,514
3,2681,1,441
3,2684,3,419
3,2685,1,12
3,2692,4,912
3,2695,3,475
3,2697,1,2
3,2699,5,9
3,2705,4,166
3,2708,5,926
3,2710,3,475
3,2713,1,11
3,2714,5,35
3,2715,4,917
3,2716,4,1008
3,2725,2,501
3,2731,2,598
3,2733,4,1163
3,2736,4,581
3,2740,4,919
3,2743,3,609
3,2744,5,25
3,2748,4,59
3,2749,1,182
3,2750,4,2
3,2752,3,131
3,2753,3,171
3,2760,5,3
3,2772,5,169
3,2773,5,11
3,2777,2,413
3,2780,3,918
3,2785,5,3
3,2811,4,418
3,2822,2,441
3,2823,4,1019
3,2826,5,75
3,2827,1,913
3,2834,4,475
3,2836,4,919
3,2848,3,913
3,2849,4,1005
3,2856,1,475
3,2863,4,475
3,2868,5,413
3,2873,1,441
3,2883,3,917
3,2884,5,2
3,2886,2,1114
3,2907,5,31
3,2918,1,475
3,2934,5,3
3,2935,3,1192
3,2938,5,19
3,2941,4,14
3,2966,1,475
3,2973,5,31
3,2975,1,2
3,2984,4,475
3,2987,1,501
3,3003,5,23
3,3007,2,1190
3,3008,4,571
3,3013,5,917
3,3014,3,917
3,3018,5,78
3,3025,3,581
3,3027,4,918
3,3033,5,3
3,3034,1,475
3,3035,4,475
3,3047,1,182
3,3059,4,534
3,3061,2,475
3,3064,3,419
3,3066,2,1227
3,3069,3,2
3,3071,5,2
3,3075,4,72
3,3084,3,475
3,3086,1,514
3,3088,5,87
3,3090,3,924
3,3095,4,1069
3,3100,2,475
3,3102,1,441
3,3109,3,419
3,3123,4,609
3,3124,5,1016
3,3137,2,608
3,3145,1,441
3,3148,3,1180
3,3169,5,2
3,3182,5,2
3,3185,1,12
3,3190,4,1200
3,3192,1,441
3,3193,2,480
3,3197,4,103
3,3199,1,166
3,3200,1,413
3,3207,1,514
3,3208,3,514
3,3210,5,1180
3,3225,4,2
3,3226,3,195
3,3230,1,2
3,3231,4,2
3,3237,5,8
3,3239,4,1226
3,3240,3,475
3,3241,4,413
3,3244,4,924
3,3245,5,2
3,3248,4,161
3,3253,4,2
3,3259,4,2
3,3260,5,161
3,3261,2,917
3,3263,3,92
3,3273,1,912
3,3283,5,3
3,3289,3,222
3,3292,2,445
3,3293,4,2
3,3298,1,12
3,3309,5,1116
3,3310,3,441
3,3311,3,415
3,3318,3,586
3,3320,4,2
3,3321,5,222
3,3322,4,170
3,3325,3,1021
3,3338,3,475
3,3343,3,475
3,3348,2,514
3,3356,1,514
3,3364,2,475
3,3370,5,2
3,3376,4,918
3,3379,1,3
3,3390,5,33
3,3395,5,3
3,3397,5,1226
3,3400,4,26
3,3407,4,1054
3,3410,5,3
3,3421,3,1019
3,3431,4,76
3,3437,1,2
3,3441,1,475
3,3456,5,33
3,3458,1,12
3,3463,1,418
3,3465,5,3
3,3474,1,2
3,3478,3,596
3,3484,5,917
3,3486,5,415
3,3487,4,912
3,3490,3,441
3,3491,2,1177
3,3500,3,445
3,3505,4,3
3,3514,4,1021
3,3516,2,461
3,3521,1,596
3,3522,3,913
3,3533,1,12
3,3544,4,8
3,3547,5,1
3,3554,3,608
3,3556,4,510
3,3564,4,1019
3,3566,3,418
3,3567,3,917
3,3568,4,917
3,3569,4,1017
3,3572,4,934
3,3576,1,514
3,3579,3,475
3,3581,4,513
3,3586,4,2
3,3587,3,913
3,3591,2,445
3,3592,4,61
3,3612,5,514
3,3621,1,514
3,3622,1,12
3,3624,3,204
3,3629,3,608
3,3632,4,918
3,3635,4,597
3,3643,4,154
3,3649,3,32
3,3651,5,2
3,3659,5,82
3,3662,2,11
3,3663,5,475
3,3667,3,182
3,3669,4,2
3,3671,1,12
3,3679,1,475
3,3689,4,2
3,3691,4,413
3,3693,4,1017
3,3697,4,202
3,3698,4,920
3,3699,5,917
3,3719,5,912
3,3724,2,131
3,3769,5,917
3,3773,4,413
3,3842,4,924
3,3848,5,188
3,3871,1,131
3,3877,4,609
3,3882,5,912
3,3900,4,39
3,3903,4,171
3,3905,2,1203
3,3922,3,595
3,3933,4,418
3,3937,2,37
3,3956,4,1205
3,3967,4,1025
3,3973,3,131
3,3974,1,441
3,3994,5,922
3,3996,4,923
3,4012,5,1029
3,4013,5,919
3,4019,5,226
3,4056,2,419
3,4077,4,924
3,4127,4,75
3,4131,3,214
3,4135,4,32
3,4154,4,163
3,4161,1,632
3,4206,4,36
3,4211,5,202
3,4234,1,475
3,4235,4,413
3,4254,5,75
3,4258,4,202
3,4287,3,598
3,4290,1,597
3,4301,2,413
3,4322,4,1000
3,4326,5,597
3,4328,1,475
3,4338,2,75
3,4350,5,76
3,4357,1,921
3,4396,4,917
3,4409,4,1042
3,4417,2,475
3,4422,4,471
3,4423,5,924
3,4443,4,141
3,4444,4,1163
3,4509,3,608
3,4512,2,153
3,4516,2,596
3,4532,4,920
3,4544,4,475
3,4550,2,514
3,4559,1,475
3,4563,4,497
3,4567,1,76
3,4569,5,1239
3,4572,5,597
3,4577,3,622
3,4588,2,441
3,4597,1,441
3,4599,4,505
3,4626,4,912
3,4627,5,75
3,4638,5,413
3,4651,5,475
3,4655,4,513
3,4665,5,82
3,4666,2,631
3,4684,4,1021
3,4699,2,76
3,4705,4,642
3,4715,2,475
3,4728,4,510
3,4729,3,441
3,4734,5,67
3,4735,3,1021
3,4740,3,475
3,4749,2,1042
3,4756,5,912
3,4763,1,475
3,4766,4,913
3,4773,4,913
3,4774,4,597
3,4787,5,228
3,4791,5,182
3,4800,3,597
3,4810,3,973
3,4820,3,1036
3,4828,4,510
3,4855,5,1036
3,4866,2,596
3,4879,4,509
3,4888,4,1015
3,4890,4,913
3,4899,4,597
3,4900,5,419
3,4908,3,214
3,4909,3,1190
3,4912,5,76
3,4922,2,1102
3,4947,3,65
3,4956,5,475
3,4958,3,920
3,4959,3,577
3,4963,5,975
3,4972,2,76
3,5001,2,1203
3,5017,5,622
3,5041,4,560
3,5062,4,415
3,5070,2,470
3,5072,5,161
3,5076,3,514
3,5078,3,465
3,5080,3,1069
3,5088,5,131
3,5110,2,514
3,5114,5,171
3,5144,4,445
3,5152,3,596
3,5155,5,581
3,5159,3,103
3,5166,1,597
3,5167,4,513
3,5179,2,912
3,5189,2,475
3,5191,4,917
3,5193,3,1168
3,5196,4,913
